timestamp,mouseMovements,avgTypingSpeed,clicks,keypresses,Result
2024-08-28T17:25:04.814Z,36,0,0,0,Human
2024-08-28T17:25:05.791Z,27,0,1,0,Human
2024-08-28T17:25:06.783Z,56,0,3,0,Human
2024-08-28T17:25:07.787Z,26,0,1,0,Human
2024-08-28T17:25:08.791Z,0,1668,0,3,Human
2024-08-28T17:25:09.794Z,0,201,0,2,Human
2024-08-28T17:25:10.793Z,0,197,0,8,Human
2024-08-28T17:25:11.793Z,0,131.57142857142858,0,7,Human
2024-08-28T17:25:12.784Z,0,322.3333333333333,0,3,Human
2024-08-28T17:25:13.796Z,0,150.5,0,4,Human
2024-08-28T17:25:14.784Z,0,240.16666666666666,0,6,Human
2024-08-28T17:25:15.799Z,0,150.71428571428572,0,7,Human
2024-08-28T17:25:16.791Z,0,136.28571428571428,0,7,Human
2024-08-28T17:25:17.798Z,0,200.8,0,5,Human
2024-08-28T17:25:18.791Z,0,152.28571428571428,0,7,Human
2024-08-28T17:25:19.797Z,0,226.75,0,4,Human
2024-08-28T17:25:20.796Z,0,170.66666666666666,0,6,Human
2024-08-28T17:25:21.795Z,0,137.5,0,4,Human
2024-08-28T17:25:22.787Z,0,321.25,0,4,Human
2024-08-28T17:25:23.795Z,11,0,0,0,Human
2024-08-28T17:46:48.471Z,43,0,0,0,Human
2024-08-28T17:46:49.473Z,98,0,0,0,Human
2024-08-28T17:46:50.464Z,57,0,1,0,Human
2024-08-28T17:46:51.458Z,84,3469,1,1,Human
2024-08-28T17:46:52.458Z,119,0,0,0,Human
2024-08-28T17:46:53.458Z,117,0,1,0,Human
2024-08-28T17:46:54.461Z,103,0,2,0,Human
2024-08-28T17:46:55.458Z,110,0,2,0,Human
2024-08-28T17:46:56.458Z,119,0,0,0,Human
2024-08-28T17:46:57.458Z,117,0,0,0,Human
2024-08-28T17:46:58.460Z,19,0,0,0,Human
2024-08-28T17:46:59.458Z,92,0,0,0,Human
2024-08-28T17:47:00.463Z,88,0,0,0,Human
2024-08-28T17:47:01.461Z,79,0,0,0,Human
2024-08-28T17:47:02.458Z,127,0,0,0,Human
2024-08-28T17:47:03.460Z,125,0,0,0,Human
2024-08-28T17:47:04.458Z,128,0,0,0,Human
2024-08-28T17:47:05.458Z,129,0,0,0,Human
2024-08-28T17:47:06.458Z,120,0,0,0,Human
2024-08-28T17:47:07.463Z,110,0,0,0,Human
2024-08-28T17:47:08.457Z,111,0,0,0,Human
2024-08-28T17:47:09.459Z,101,0,0,0,Human
2024-08-28T17:47:10.458Z,108,0,0,0,Human
2024-08-28T17:47:11.458Z,124,0,0,0,Human
2024-08-28T17:47:12.457Z,126,0,0,0,Human
2024-08-28T17:47:13.458Z,124,0,0,0,Human
2024-08-28T17:47:14.457Z,127,0,0,0,Human
2024-08-28T17:47:15.459Z,121,0,0,0,Human
2024-08-28T17:47:16.458Z,129,0,0,0,Human
2024-08-28T17:47:17.460Z,125,0,0,0,Human
2024-08-28T17:47:18.458Z,119,0,0,0,Human
2024-08-28T17:47:19.459Z,128,0,0,0,Human
2024-08-28T17:47:20.464Z,94,0,2,0,Human
2024-08-28T17:47:21.459Z,115,0,0,0,Human
2024-08-28T17:47:22.457Z,125,0,0,0,Human
2024-08-28T17:47:23.458Z,117,0,0,0,Human
2024-08-28T17:47:24.457Z,126,0,0,0,Human
2024-08-28T17:47:25.458Z,126,0,0,0,Human
2024-08-28T17:47:26.457Z,128,0,0,0,Human
2024-08-28T17:47:27.458Z,126,0,0,0,Human
2024-08-28T17:47:28.457Z,129,0,0,0,Human
2024-08-28T17:47:29.458Z,129,0,0,0,Human
2024-08-28T17:47:30.457Z,127,0,0,0,Human
2024-08-28T17:47:31.459Z,119,0,0,0,Human
2024-08-28T17:47:32.458Z,129,0,0,0,Human
2024-08-28T17:47:33.459Z,127,0,0,0,Human
2024-08-28T17:47:34.457Z,127,0,0,0,Human
2024-08-28T17:47:35.459Z,129,0,0,0,Human
2024-08-28T17:47:36.457Z,130,0,0,0,Human
2024-08-28T17:47:37.459Z,129,0,0,0,Human
2024-08-28T17:47:38.457Z,130,0,0,0,Human
2024-08-28T17:47:39.457Z,129,0,0,0,Human
2024-08-28T17:47:40.457Z,122,0,0,0,Human
2024-08-28T17:47:41.457Z,120,0,0,0,Human
2024-08-28T17:47:42.462Z,21,0,0,0,Human
2024-08-28T17:47:43.470Z,0,0,0,0,Human
2024-08-28T17:47:44.470Z,0,0,0,0,Human
2024-08-28T17:47:45.468Z,0,0,0,0,Human
2024-08-28T17:47:46.473Z,0,0,0,0,Human
2024-08-28T17:47:47.459Z,65,0,0,0,Human
2024-08-28T17:47:48.465Z,127,0,0,0,Human
2024-08-28T17:47:49.459Z,53,0,0,0,Human
2024-08-28T17:47:50.459Z,0,0,0,0,Human
2024-08-28T17:47:51.458Z,0,0,0,0,Human
2024-08-28T17:47:52.466Z,0,0,0,0,Human
2024-08-28T17:47:53.470Z,0,0,0,0,Human
2024-08-28T17:47:54.466Z,0,0,0,0,Human
2024-08-28T17:47:55.470Z,0,0,0,0,Human
2024-08-28T17:47:56.460Z,50,0,0,0,Human
2024-08-28T17:47:57.463Z,113,0,0,0,Human
2024-08-28T17:47:58.459Z,49,0,0,0,Human
2024-08-28T17:47:59.463Z,59,0,0,0,Human
2024-08-28T17:48:00.458Z,126,0,0,0,Human
2024-08-28T17:48:01.465Z,19,0,0,0,Human
2024-08-28T17:48:02.468Z,0,0,0,0,Human
2024-08-28T17:48:03.471Z,0,0,0,0,Human
2024-08-28T17:48:04.464Z,0,0,0,0,Human
2024-08-28T17:48:05.471Z,0,0,0,0,Human
2024-08-28T17:48:06.462Z,0,0,0,0,Human
2024-08-28T17:48:07.470Z,0,0,0,0,Human
2024-08-28T17:48:08.465Z,1,0,0,0,Human
2024-08-28T17:48:09.457Z,0,0,0,0,Human
2024-08-28T17:48:10.460Z,15,0,0,0,Human
2024-08-28T17:48:11.465Z,114,0,0,0,Human
2024-08-28T17:48:12.472Z,56,0,0,0,Human
2024-08-28T17:48:13.462Z,71,0,0,0,Human
2024-08-28T17:48:14.457Z,72,0,0,0,Human
2024-08-28T17:48:15.458Z,114,0,0,0,Human
2024-08-28T17:48:16.463Z,56,0,0,0,Human
2024-08-28T17:48:17.457Z,97,0,0,0,Human
2024-08-28T17:48:18.457Z,84,0,0,0,Human
2024-08-28T17:48:19.458Z,118,0,0,0,Human
2024-08-28T17:48:20.458Z,128,0,0,0,Human
2024-08-28T17:48:21.459Z,127,0,0,0,Human
2024-08-28T17:48:22.458Z,121,0,0,0,Human
2024-08-28T17:48:23.464Z,126,0,0,0,Human
2024-08-28T17:48:24.458Z,125,0,0,0,Human
